icao,count
AVQ,1
AVR,1
AVS,1
AVT,1
AVU,1
AVV,1
AVW,1
AVX,1
XXX,1
YRG,1
ZAK,1
ZZM,1
BGA,1
BGD,1
BGF,1
BGG,1
BHC,1
BIE,1
BIV,1
SZA,1
SZL,1
TAH,1
AVY,1
AVZ,1
AWB,1
AWK,1
AWL,1
AWN,1
AWO,1
AWR,1
ISM,1
AWS,1
AWT,1
AWU,1
AWV,1
AWW,1
AWY,1
FWI,1
AWZ,1
AXB,1
AXD,1
AXF,1
AXH,1
AXI,1
AXK,1
AXL,1
AXM,1
AXN,1
AXP,1
AXQ,1
BNI,1
BNZ,1
BOC,1
BOI,1
AXR,1
AXS,1
AXV,1
AXX,1
AXY,1
AYD,1
AYK,1
AYM,1
AYN,1
AYS,1
AYT,1
AYZ,1
AZA,1
AZB,1
AZE,1
AZF,1
AZK,1
AZL,1
AZM,1
AZN,1
AZP,1
AZS,1
AZT,1
AZV,1
AZW,1
MHC,1
MHS,1
MHU,1
MKH,1
AZX,1
AZY,1
AZZ,1
NAR,1
NAU,1
NER,1
NFF,1
OBA,1
OBK,1
OCA,1
NFS,1
NGC,1
NGE,1
NGF,1
OUL,1
OVA,1
XPE,1
XSS,1
XTJ,1
TLR,1
OVC,1
RVE,1
RVI,1
RVL,1
OVE,1
OVI,1
PTD,1
PTE,1
SDM,1
PLL,1
PLM,1
AEH,1
PSG,1
SLU,1
SCU,1
SIP,1
BMV,1
GUG,1
PXX,1
PYC,1
PVK,1
BAH,1
BAS,1
BBE,1
BBT,1
MCY,1
EGF,1
PUE,1
PUT,1
AZI,1
VUE,1
XCT,1
VRO,1
VRI,1
VEG,1
VVG,1
VLR,1
WIL,1
VEJ,1
WAB,1
VNG,1
VAD,1
VMR,1
VLS,1
XAA,1
VUO,1
VTM,1
VUN,1
BOT,1
XPR,1
XLL,1
VAE,1
WHY,1
WDR,1
XEC,1
UPA,1
VTY,1
VTA,1
URG,1
VDR,1
VIM,1
WLR,1
URA,1
XLB,1
WLA,1
XFX,1
WAY,1
WGS,1
XAK,1
WPK,1
VAB,1
URP,1
WPR,1
URR,1
UST,1
WLT,1
VLV,1
VME,1
VVA,1
WLV,1
WTA,1
VNT,1
VZR,1
VID,1
VXG,1
VXX,1
XAM,1
XAO,1
VAZ,1
VAS,1
VAM,1
VAV,1
VBC,1
XKX,1
XAT,1
VAI,1
VRT,1
AVE,1
VLI,1
VSA,1
VSC,1
XAV,1
VTT,1
VSR,1
VTG,1
XJA,1
XFS,1
XXV,1
XME,1
XMG,1
CAJ,1
CAO,1
CBE,1
CBO,1
CBS,1
CBV,1
CCA,1
CDA,1
CDP,1
CDU,1
CDV,1
CFF,1
CFM,1
CFR,1
CFV,1
CGB,1
CGV,1
CGW,1
CHJ,1
CHR,1
CHV,1
CID,1
CIR,1
CKL,1
CLL,1
CLP,1
CMF,1
CND,1
CNE,1
CNH,1
CNU,1
CNX,1
CPF,1
CRD,1
CRF,1
CRJ,1
CRP,1
CRQ,1
CTA,1
CTE,1
CTR,1
CUO,1
CVA,1
CWM,1
CWP,1
CYL,1
CYO,1
CYD,1
CYE,1
DAH,1
DAP,1
DBA,1
DBD,1
DEF,1
DEG,1
DHI,1
DHL,1
DHM,1
DIC,1
DIN,1
DJA,1
DJU,1
DLA,1
DLS,1
DLU,1
DMC,1
DMI,1
DML,1
DNA,1
DNC,1
DNJ,1
DNV,1
DRD,1
DRM,1
DRO,1
DSC,1
DSK,1
DST,1
DVI,1
DYN,1
EAE,1
EAP,1
EAT,1
EAY,1
EBC,1
ECE,1
ECG,1
ECL,1
ECM,1
EDA,1
EET,1
EFC,1
EIN,1
EJP,1
ELG,1
END,1
EOS,1
EPA,1
ENW,1
EOL,1
EOM,1
EPL,1
EPS,1
EPE,1
EQL,1
ERG,1
ERI,1
ERK,1
ERM,1
ESB,1
ESO,1
ESU,1
ESZ,1
ETC,1
ETE,1
EUK,1
EVE,1
EVR,1
EXG,1
FAC,1
FAG,1
FAJ,1
FAN,1
FBW,1
FCI,1
FCO,1
FCU,1
FDA,1
FDS,1
FGT,1
FIC,1
FIF,1
FII,1
FIX,1
FJI,1
FLD,1
FLI,1
FLZ,1
FMT,1
FNM,1
FNO,1
FNX,1
FRD,1
FPY,1
FRJ,1
FRK,1
FRQ,1
FRT,1
FST,1
FTC,1
FTY,1
FXI,1
GAP,1
GAU,1
GBJ,1
GBN,1
GCF,1
GCK,1
GFO,1
GGL,1
GGN,1
GHL,1
GHN,1
GIL,1
GIP,1
GIZ,1
GLL,1
GLT,1
GME,1
GMM,1
GMS,1
GNT,1
GOA,1
GRE,1
GRG,1
GRI,1
GRL,1
GRO,1
GRR,1
GRX,1
GSP,1
GSV,1
GTC,1
GTI,1
GTP,1
GUA,1
GUY,1
GVI,1
HAD,1
HAH,1
HAT,1
HEI,1
HGH,1
HHA,1
HID,1
HJA,1
HJT,1
